Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
17,Cl,3,17,3.16,79,1251.2,[Ne] 3s2 3p5,10.2,99,3.2,1.1,239.11,Unknown,171.6,3.214,Unknown,Unknown,Unknown,Chlorine,Cl-,2298,35.453,175,478.2,0.0089,3822,Halogen,349,Unknown,100
18,Ar,3,18,Unknown,71,1520.6,[Ne] 3s2 3p6,6.5,97,1.18,Unknown,87.3,Unknown,83.8,1.784,Unknown,Unknown,Unknown,Argon,NA,2665.8,39.948,188,520.33,0.01772,3931,Noble Gas,0,Unknown,71
19,K,4,1,0.82,243,418.8,[Ar] 4s1,76.9,196,2.33,3.1,1032,0.363,336.53,856,Unknown,1.3,Unknown,Potassium,K+,3052,39.0983,275,757,100,4420,Alkali Metal,48.4,0.4,220
20,Ca,4,2,1,194,589.8,[Ar] 4s2,155,174,8.54,17,1757,167,1115,1550,20,7.4,Unknown,Calcium,Ca2+,1145.4,40.078,Unknown,631,200,4912.4,Alkaline Earth Metal,2.37,1.75,180
21,Sc,4,3,1.36,184,633.1,[Ar] 4s2 3d1,318,144,16,57,3103,750,1814,2985,74,29,Unknown,Scandium,Sc3+,1235,44.9559,Unknown,567,16,2388.6,Transition Metal,18.1,Unknown,160
22,Ti,4,4,1.54,176,658.8,[Ar] 4s2 3d2,425,136,18.7,110,3560,716,1941,4507,116,44,970,Titanium,Ti3+,1309.8,47.867,Unknown,520,22,2652.5,Transition Metal,7.6,6,140
23,V,4,5,1.63,171,650.9,[Ar] 4s2 3d3,453,125,22.8,160,3680,628,2183,6110,128,47,628,Vanadium,V3+,1414,50.9415,Unknown,489,31,2830,Transition Metal,50.6,7,135
24,Cr,4,6,1.66,166,652.9,[Ar] 4s1 3d5,339,127,20.5,160,2944,1120,2180,7140,279,115,1060,Chromium,Cr2+,1590.6,51.9961,Unknown,448,94,2987,Transition Metal,64.3,8.5,140
25,Mn,4,7,1.55,161,717.3,[Ar] 4s2 3d5,220,139,13.2,120,2334,196,1519,7470,198,Unknown,Unknown,Manganese,Mn2+,1509,54.938,Unknown,479,7.8,3248,Transition Metal,0,6,140
26,Fe,4,8,1.83,156,762.5,[Ar] 4s2 3d6,347,125,13.8,170,3134,490,1811,7874,211,82,608,Iron,Fe2+,1561.9,55.845,Unknown,449,80,2957,Transition Metal,15.7,4,140
27,Co,4,9,1.88,152,760.4,[Ar] 4s2 3d7,375,126,16.2,180,3200,700,1768,8900,209,75,1043,Cobalt,Co2+,1648,58.9332,Unknown,421,100,3232,Transition Metal,63.7,5,135
28,Ni,4,10,1.91,149,737.1,[Ar] 4s2 3d8,378,121,17.2,180,3186,700,1728,8908,200,76,638,Nickel,Ni2+,1753,58.6934,163,445,91,3395,Transition Metal,112,4,135
29,Cu,4,11,1.9,145,745.5,[Ar] 4s1 3d10,300,138,13.1,140,3200,874,1357.77,8920,130,48,369,Copper,Cu+,1957.9,63.546,140,384.4,400,3555,Transition Metal,118.4,3,135
30,Zn,4,12,1.65,142,906.4,[Ar] 4s2 3d10,119,131,7.35,70,1180,412,692.68,7140,108,43,Unknown,Zinc,Zn2+,1733.3,65.38,139,388,120,3833,Transition Metal,0,2.5,135
31,Ga,4,13,1.81,136,578.8,[Ar] 4s2 3d10 4p1,256,126,5.59,Unknown,2477,60,302.91,5904,Unknown,Unknown,Unknown,Gallium,Ga3+,1979.3,69.723,187,371,29,2963,Post-Transition Metal,28.9,1.5,130
32,Ge,4,14,2.01,125,762,[Ar] 4s2 3d10 4p2,334,122,31.8,Unknown,3093,Unknown,1211.4,5323,Unknown,Unknown,Unknown,Germanium,NA,1537.5,72.63,Unknown,321.4,60,3302.1,Metalloid,119,6,125
33,As,4,15,2.18,114,947,[Ar] 4s2 3d10 4p3,32.4,119,27.7,22,887,1440,1090,5727,8,Unknown,Unknown,Arsenic,As3+,1798,74.9216,185,328,50,2735,Metalloid,78,3.5,115
34,Se,4,16,2.55,103,941,[Ar] 4s2 3d10 4p4,26,116,5.4,8.3,958,736,494,4819,10,3.7,Unknown,Selenium,Se2-,2045,78.96,190,321.2,0.52,2973.7,Nonmetal,195,2,115
35,Br,4,17,2.96,94,1139.9,[Ar] 4s2 3d10 4p5,14.8,114,5.8,1.9,332,Unknown,265.8,3120,Unknown,Unknown,Unknown,Bromine,Br-,2103,79.904,185,947.3,0.12,3470,Halogen,324.6,Unknown,115
36,Kr,4,18,3,88,1350.8,[Ar] 4s2 3d10 4p6,9.02,110,1.64,Unknown,119.93,Unknown,115.79,3.75,Unknown,Unknown,Unknown,Krypton,NA,2350.4,83.798,202,248.05,0.00943,3565,Noble Gas,0,Unknown,Unknown
