Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
85,At,6,17,2.2,127,890,[Xe] 6s2 4f14 5d10 6p5,40,Unknown,6,Unknown,610,Unknown,575,Unknown,Unknown,Unknown,Unknown,Astatine,NA,Unknown,210,Unknown,Unknown,2,Unknown,Halogen,270.1,Unknown,Unknown
86,Rn,6,18,Unknown,120,1037,[Xe] 6s2 4f14 5d10 6p6,17,145,3,Unknown,211.3,Unknown,202,9.73,Unknown,Unknown,Unknown,Radon,NA,Unknown,222,Unknown,93.65,0.00361,Unknown,Noble Gas,0,Unknown,Unknown
87,Fr,7,1,0.7,Unknown,380,[Rn] 7s1,65,Unknown,2,Unknown,950,Unknown,300,Unknown,Unknown,Unknown,Unknown,Francium,NA,Unknown,223,Unknown,Unknown,Unknown,Unknown,Alkali Metal,Unknown,Unknown,Unknown
88,Ra,7,2,0.9,Unknown,509.3,[Rn] 7s2,125,Unknown,8,Unknown,2010,Unknown,973,5000,Unknown,Unknown,Unknown,Radium,NA,979,226,Unknown,92,19,Unknown,Alkaline Earth Metal,Unknown,Unknown,215
89,Ac,7,3,1.1,Unknown,499,[Rn] 7s2 6d1,400,Unknown,14,Unknown,3473,Unknown,1323,10070,Unknown,Unknown,Unknown,Actinium,NA,1170,227,Unknown,120,12,Unknown,Actinoid,Unknown,Unknown,195
90,Th,7,3,1.3,Unknown,587,[Rn] 7s2 6d2,530,Unknown,16,54,5093,400,2023,11724,79,31,350,Thorium,NA,1110,232.0381,Unknown,118,54,1930,Actinoid,Unknown,3,180
91,Pa,7,3,1.5,Unknown,568,[Rn] 7s2 5f2 6d1,470,Unknown,15,Unknown,4273,Unknown,1845,15370,Unknown,Unknown,Unknown,Protactinium,NA,Unknown,231.0359,Unknown,99.1,47,Unknown,Actinoid,Unknown,Unknown,180
92,U,7,3,1.38,Unknown,597.6,[Rn] 7s2 5f3 6d1,420,Unknown,14,100,4200,2400,1408,19050,208,111,1960,Uranium,NA,1420,238.0289,186,116,27,Unknown,Actinoid,Unknown,6,175
93,Np,7,3,1.36,Unknown,604.5,[Rn] 7s2 5f4 6d1,335,Unknown,10,Unknown,4273,Unknown,917,20450,Unknown,Unknown,Unknown,Neptunium,NA,Unknown,237,Unknown,Unknown,6,Unknown,Actinoid,Unknown,Unknown,175
94,Pu,7,3,1.28,Unknown,584.7,[Rn] 7s2 5f6,325,Unknown,Unknown,Unknown,3503,Unknown,913,19816,96,43,Unknown,Plutonium,NA,Unknown,244,Unknown,Unknown,6,Unknown,Actinoid,Unknown,Unknown,175
95,Am,7,3,1.3,Unknown,578,[Rn] 7s2 5f7,Unknown,Unknown,Unknown,Unknown,2284,Unknown,1449,Unknown,Unknown,Unknown,Unknown,Americium,NA,Unknown,243,Unknown,Unknown,10,Unknown,Actinoid,Unknown,Unknown,175
96,Cm,7,3,1.3,Unknown,581,[Rn] 7s2 5f7 6d1,Unknown,Unknown,Unknown,Unknown,3383,Unknown,1618,13510,Unknown,Unknown,Unknown,Curium,NA,Unknown,247,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,Unknown,Unknown
97,Bk,7,3,1.3,Unknown,601,[Rn] 7s2 5f9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1323,14780,Unknown,Unknown,Unknown,Berkelium,NA,Unknown,247,Unknown,Unknown,10,Unknown,Actinoid,Unknown,Unknown,Unknown
98,Cf,7,3,1.3,Unknown,608,[Rn] 7s2 5f10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1173,15100,Unknown,Unknown,Unknown,Californium,NA,Unknown,251,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,Unknown,Unknown
99,Es,7,3,1.3,Unknown,619,[Rn] 7s2 5f11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1133,Unknown,Unknown,Unknown,Unknown,Einsteinium,NA,Unknown,252,Unknown,Unknown,Unknown,Unknown,Actinoid,Unknown,Unknown,Unknown
